Horodateur,Veuillez sélectionner votre catégorie d'âge.,Vous êtes :,"Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
",Notez ce paysage,Notez cette activité,Notez cette activité,Notez cette activité,Notez cette activité,Notez cette activité,Notez cette activité,Notez cette activité,Notez cette spécialité : la Choucroute,Notez cette spécialité : le Bœuf bourguignon ,Notez cette spécialité : Moules Frites,Notez cette spécialité : la Raclette,Notez cette spécialité : les Escargots ,Notez cette spécialité : les Galettes,Notez cette spécialité : Quiche Lorraine ,"En vacances, vous aimez rencontrer de nouvelles personnes","En  vacances, vous aimez passer vos journées à vous reposer  ","En  vacances, vous aimez passer vos soirées à faire la fête  ","En  vacances, vous aimez l'aventure ","En  vacances, vous aimez faire du sport ","En  vacances, vous aimez découvrir de nouvelles cultures ",Quelle est votre destination préférée en France ?,"Si vous souhaitez recevoir votre recommandation, merci de renseigner votre adresse mail :"
23/10/2022 12:04:33,18-25,Femme,J'adore,J'adore,J'adore,Bof,J'adore,J'adore,Bof,J'aime bien,J'aime bien,J'aime bien,J'adore,J'adore,Je n'aime pas trop,Bof,J'adore,J'adore,Je n'aime pas trop,J'adore,J'adore,Je n'aime pas du tout,Bof,J'adore,J'adore,Je n'aime pas du tout,J'aime bien,Bof,D'accord,D'accord,D'accord,Tout à fait d'accord,Pas d'accord,D'accord,Aix en provence ,
03/11/2022 10:20:39,18-25,Femme,J'aime bien,J'adore,J'adore,J'aime bien,J'adore,J'adore,Bof,J'aime bien,J'adore,J'adore,J'aime bien,J'adore,Bof,J'adore,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'aime bien,J'adore,J'aime bien,J'adore,J'adore,J'adore,J'aime bien,Tout à fait d'accord,Tout à fait d'accord,Pas du tout d'accord,Tout à fait d'accord,Ne sait pas,Tout à fait d'accord,Nice ,
03/11/2022 15:38:51,18-25,Femme,J'adore,Bof,J'aime bien,Je n'aime pas trop,Je n'aime pas trop,Bof,Je n'aime pas du tout,Je n'aime pas du tout,J'aime bien,Bof,J'adore,Bof,Je n'aime pas du tout,Je n'aime pas du tout,Je n'aime pas du tout,Je n'aime pas du tout,J'aime bien,J'adore,J'adore,J'adore,J'aime bien,J'adore,J'adore,Je n'aime pas du tout,J'aime bien,Je n'aime pas du tout,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,D'accord,Pas d'accord,Tout à fait d'accord,Paris,
03/11/2022 17:19:44,18-25,Femme,J'aime bien,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'aime bien,Bof,J'adore,J'adore,J'adore,J'adore,Je n'aime pas du tout,Je n'aime pas trop,J'aime bien,J'aime bien,Je n'aime pas trop,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'adore,J'aime bien,J'aime bien,Bof,D'accord,Pas d'accord,Tout à fait d'accord,D'accord,Pas d'accord,D'accord,Bretagne ,
09/11/2022 13:12:13,18-25,Homme,J'adore,J'adore,J'adore,Bof,J'adore,J'adore,Bof,Je n'aime pas trop,Bof,J'adore,J'adore,J'adore,Bof,J'aime bien,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,Je n'aime pas du tout,J'adore,J'adore,D'accord,Pas d'accord,D'accord,Tout à fait d'accord,D'accord,Tout à fait d'accord,Le pont du diable,
10/11/2022 12:26:13,18-25,Femme,Bof,J'adore,J'aime bien,Bof,J'aime bien,J'aime bien,J'adore,Je n'aime pas trop,Je n'aime pas trop,J'aime bien,Bof,J'adore,J'adore,J'aime bien,Je n'aime pas trop,Bof,Je n'aime pas du tout,J'adore,Je n'aime pas trop,J'aime bien,Bof,Je n'aime pas trop,J'adore,Je n'aime pas du tout,J'aime bien,Je n'aime pas du tout,Pas d'accord,Pas d'accord,Pas d'accord,D'accord,D'accord,D'accord,Bourg-Saint-Maurice,
10/11/2022 12:33:06,26-35,Homme,J'aime bien,J'adore,J'aime bien,J'aime bien,J'adore,J'adore,J'adore,J'aime bien,J'aime bien,Je n'aime pas trop,J'aime bien,J'adore,J'adore,Je n'aime pas trop,Je n'aime pas trop,Je n'aime pas trop,Je n'aime pas trop,Je n'aime pas trop,Je n'aime pas du tout,Je n'aime pas trop,J'aime bien,J'adore,J'adore,Je n'aime pas trop,J'adore,J'aime bien,Pas d'accord,Pas du tout d'accord,Pas du tout d'accord,Tout à fait d'accord,D'accord,D'accord,Tignes,
10/11/2022 12:33:50,18-25,Homme,Bof,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,Bof,Bof,J'aime bien,J'aime bien,J'aime bien,J'aime bien,Je n'aime pas du tout,Je n'aime pas du tout,J'aime bien,J'aime bien,Je n'aime pas du tout,J'aime bien,Je n'aime pas trop,Tout à fait d'accord,D'accord,Tout à fait d'accord,D'accord,Ne sait pas,Pas d'accord,Marseille,
10/11/2022 12:33:56,26-35,Femme,J'aime bien,J'adore,J'adore,Je n'aime pas trop,J'adore,J'adore,Bof,J'aime bien,J'aime bien,Bof,J'adore,J'adore,Bof,J'adore,Je n'aime pas trop,Je n'aime pas trop,Je n'aime pas trop,J'aime bien,J'adore,Je n'aime pas du tout,Je n'aime pas du tout,J'adore,Bof,Je n'aime pas du tout,Bof,Je n'aime pas du tout,Tout à fait d'accord,D'accord,Pas d'accord,D'accord,Pas du tout d'accord,Tout à fait d'accord,La Corse,
10/11/2022 12:39:22,26-35,Femme,J'aime bien,J'adore,J'adore,Bof,J'adore,J'aime bien,Bof,Je n'aime pas trop,Je n'aime pas trop,J'aime bien,Bof,J'adore,Je n'aime pas trop,Bof,Bof,Je n'aime pas trop,Je n'aime pas du tout,J'adore,Bof,J'adore,J'aime bien,J'aime bien,J'adore,J'adore,J'adore,J'aime bien,Pas d'accord,Tout à fait d'accord,Pas d'accord,D'accord,Pas d'accord,Tout à fait d'accord,Annecy,
